Core Losses,,,,,
,,,,,
Name: M19_29G,,,,,
,,,,,
Units:,W/kg,,,,
Mass density: ,7872 ,kg/m^3,,,
,,,,,
Frecuencies:,50,100,200,400,1000
B,P50,P100,P200,P400,P1000
0,0,0,0,0,0
0.1,0.03,0.04,0.09,0.21,0.99
0.2,0.07,0.16,0.37,0.92,3.67
0.3,0.13,0.34,0.79,1.99,7.63
0.4,0.22,0.55,1.31,3.33,12.7
0.5,0.31,0.8,1.91,4.94,18.9
0.6,0.43,1.08,2.61,6.84,26.4
0.7,0.54,1.38,3.39,9,35.4
0.8,0.68,1.73,4.26,11.4,46
0.9,0.83,2.1,5.23,14.2,58.4
1,1.01,2.51,6.3,17.3,73
1.1,1.2,2.98,7.51,20.9,90.1
1.2,1.42,3.51,8.88,24.9,-1
1.3,1.7,4.15,10.5,29.5,-1
1.4,2.12,4.97,12.5,35.4,-1
1.5,2.47,5.92,14.9,41.8,-1
1.6,2.8,-1,-1,-1,-1
1.7,3.05,-1,-1,-1,-1
1.8,3.25,-1,-1,-1,-1
